IDMochila,PesoMaximo,NumeroItens,MelhorValor,MelhorPeso,TempoForcaBruta,TempoAlgGulosoValor,ValorAlgGulosoValor,PesoAlgGulosoValor,PrecisaoAlgGulosValor,EficienciaAlgGulosoValor,TempoAlgGulosoValorPeso,ValorAlgGulosoValorPeso,PesoAlgGulosoValorPeso,PrecisaoAlgGulosoValorPeso,EficienciaAlgGulosoValorPeso,TempoAlgGulosoAmbos,ValorAlgGulosoAmbos,PesoAlgGulosoAmbos,PrecisaoAlgGulosoAmbos,EficienciaAlgGulosoAmbos
218,54,25,328,54,3605412500ns,8300ns,73,51,22.26%,94.44%,13100ns,328,54,100.00%,100.00%,21400ns,328,54,100.00%,100.00%
219,54,25,436,54,3603588800ns,6300ns,79,53,18.12%,98.15%,11600ns,436,54,100.00%,100.00%,17900ns,436,54,100.00%,100.00%
220,54,25,424,54,3615299600ns,5900ns,84,53,19.81%,98.15%,11400ns,424,54,100.00%,100.00%,17300ns,424,54,100.00%,100.00%
221,54,25,419,54,3625227900ns,5800ns,86,52,20.53%,96.30%,11600ns,419,54,100.00%,100.00%,17400ns,419,54,100.00%,100.00%
222,54,25,411,54,3586868300ns,6100ns,121,52,29.44%,96.30%,11700ns,411,54,100.00%,100.00%,17800ns,411,54,100.00%,100.00%
223,54,25,387,53,3588373900ns,10200ns,54,50,13.95%,94.34%,12400ns,378,51,97.67%,96.23%,22600ns,378,51,97.67%,96.23%
224,54,25,441,53,3669156100ns,6100ns,72,54,16.33%,101.89%,10900ns,441,53,100.00%,100.00%,17000ns,441,53,100.00%,100.00%
225,54,25,364,54,3552406200ns,5400ns,98,52,26.92%,96.30%,129400ns,360,53,98.90%,98.15%,134800ns,360,53,98.90%,98.15%
226,54,25,389,54,3656352800ns,5700ns,35,52,9.00%,96.30%,21900ns,389,54,100.00%,100.00%,27600ns,389,54,100.00%,100.00%
227,54,25,328,54,3567452400ns,6500ns,39,50,11.89%,92.59%,5200ns,328,54,100.00%,100.00%,11700ns,328,54,100.00%,100.00%
228,54,25,376,53,3597700200ns,7000ns,126,54,33.51%,101.89%,4800ns,376,53,100.00%,100.00%,11800ns,376,53,100.00%,100.00%
229,54,25,302,54,3611117200ns,6600ns,64,54,21.19%,100.00%,4900ns,302,54,100.00%,100.00%,11500ns,302,54,100.00%,100.00%
