IDMochila,PesoMaximo,NumeroItens,MelhorValor,MelhorPeso,TempoForcaBruta,TempoAlgGulosoValor,ValorAlgGulosoValor,PesoAlgGulosoValor,PrecisaoAlgGulosValor,EficienciaAlgGulosoValor,TempoAlgGulosoValorPeso,ValorAlgGulosoValorPeso,PesoAlgGulosoValorPeso,PrecisaoAlgGulosoValorPeso,EficienciaAlgGulosoValorPeso,TempoAlgGulosoAmbos,ValorAlgGulosoAmbos,PesoAlgGulosoAmbos,PrecisaoAlgGulosoAmbos,EficienciaAlgGulosoAmbos
471,54,25,326,53,3691844900ns,6600ns,70,52,21.47%,98.11%,5300ns,320,51,98.16%,96.23%,11900ns,320,51,98.16%,96.23%
472,54,25,377,53,3592674700ns,6100ns,73,53,19.36%,100.00%,5000ns,376,52,99.73%,98.11%,11100ns,376,52,99.73%,98.11%
473,54,25,369,54,3618470100ns,6700ns,100,52,27.10%,96.30%,5000ns,365,53,98.92%,98.15%,11700ns,365,53,98.92%,98.15%
474,54,25,389,54,3613974400ns,7200ns,79,54,20.31%,100.00%,5000ns,378,54,97.17%,100.00%,12200ns,378,54,97.17%,100.00%
475,54,25,353,54,3661455100ns,5900ns,84,54,23.80%,100.00%,4700ns,350,54,99.15%,100.00%,10600ns,350,54,99.15%,100.00%
476,54,25,410,54,3613843700ns,6400ns,88,51,21.46%,94.44%,4900ns,410,54,100.00%,100.00%,11300ns,410,54,100.00%,100.00%
477,54,25,412,54,3650106500ns,5900ns,66,54,16.02%,100.00%,5000ns,412,53,100.00%,98.15%,10900ns,412,53,100.00%,98.15%
478,54,25,378,54,3629015100ns,23600ns,117,53,30.95%,98.15%,8900ns,366,51,96.83%,94.44%,32500ns,366,51,96.83%,94.44%
479,54,25,414,54,3703522200ns,6500ns,68,52,16.43%,96.30%,5200ns,406,52,98.07%,96.30%,11700ns,406,52,98.07%,96.30%
480,54,25,394,54,3618756000ns,6300ns,78,52,19.80%,96.30%,5300ns,394,54,100.00%,100.00%,11600ns,394,54,100.00%,100.00%
481,54,25,450,54,3856587000ns,6100ns,48,53,10.67%,98.15%,4600ns,440,52,97.78%,96.30%,10700ns,440,52,97.78%,96.30%
482,54,25,396,54,3631683200ns,6100ns,72,53,18.18%,98.15%,5100ns,393,52,99.24%,96.30%,11200ns,393,52,99.24%,96.30%
483,54,25,371,54,3636269200ns,6200ns,129,54,34.77%,100.00%,5000ns,365,52,98.38%,96.30%,11200ns,365,52,98.38%,96.30%
484,54,25,421,54,3634149900ns,6500ns,87,54,20.67%,100.00%,4500ns,420,53,99.76%,98.15%,11000ns,420,53,99.76%,98.15%
485,54,25,337,54,3642260800ns,6300ns,97,54,28.78%,100.00%,5100ns,335,54,99.41%,100.00%,11400ns,335,54,99.41%,100.00%
486,54,25,345,54,3705016400ns,6400ns,163,54,47.25%,100.00%,4700ns,343,52,99.42%,96.30%,11100ns,343,52,99.42%,96.30%
487,54,25,397,52,3641296900ns,6200ns,96,52,24.18%,100.00%,4600ns,397,52,100.00%,100.00%,10800ns,397,52,100.00%,100.00%
488,54,25,468,54,3622820500ns,6000ns,120,53,25.64%,98.15%,4900ns,463,53,98.93%,98.15%,10900ns,463,53,98.93%,98.15%
489,54,25,319,54,3625664100ns,10400ns,48,54,15.05%,100.00%,6000ns,315,52,98.75%,96.30%,16400ns,315,52,98.75%,96.30%
490,54,25,356,54,3714688400ns,6700ns,64,52,17.98%,96.30%,5100ns,353,53,99.16%,98.15%,11800ns,353,53,99.16%,98.15%
491,54,25,400,54,3630388200ns,9600ns,64,53,16.00%,98.15%,5400ns,397,53,99.25%,98.15%,15000ns,397,53,99.25%,98.15%
492,54,25,349,54,3621101100ns,5800ns,91,54,26.07%,100.00%,5300ns,344,54,98.57%,100.00%,11100ns,344,54,98.57%,100.00%
493,54,25,334,54,3587985300ns,6700ns,102,53,30.54%,98.15%,5000ns,334,54,100.00%,100.00%,11700ns,334,54,100.00%,100.00%
494,54,25,312,54,3620117800ns,6400ns,86,54,27.56%,100.00%,4900ns,307,53,98.40%,98.15%,11300ns,307,53,98.40%,98.15%
495,54,25,343,53,3642671700ns,6400ns,121,52,35.28%,98.11%,4700ns,343,53,100.00%,100.00%,11100ns,343,53,100.00%,100.00%
496,54,25,391,54,3689620300ns,6200ns,147,54,37.60%,100.00%,4500ns,385,52,98.47%,96.30%,10700ns,385,52,98.47%,96.30%
497,54,25,315,53,3599195200ns,18000ns,72,54,22.86%,101.89%,6700ns,315,53,100.00%,100.00%,24700ns,315,53,100.00%,100.00%
498,54,25,446,54,3614205200ns,6000ns,131,53,29.37%,98.15%,4800ns,443,53,99.33%,98.15%,10800ns,443,53,99.33%,98.15%
499,54,25,387,54,3625802800ns,6300ns,117,53,30.23%,98.15%,5100ns,387,54,100.00%,100.00%,11400ns,387,54,100.00%,100.00%
500,54,25,338,53,3680089400ns,6200ns,97,52,28.70%,98.11%,4500ns,337,52,99.70%,98.11%,10700ns,337,52,99.70%,98.11%
